id,user_id,service_id,vendor_id,booking_reference,service_name_at_booking,service_price_at_booking,scheduled_at,booking_date,booking_time,time_slot,status,price_total,price_service,price_tax,price_discount,payment_method,payment_status,special_requests,cancellation_reason,cancelled_at,cancelled_by,completed_at,created_at,created_by,updated_at,updated_by,deleted_at
1,2,218,10,BOOK000001,Network Setup,1999.00,2024-02-09 22:14:57,2024-01-16,15:00:00,,COMPLETED,2298.85,1999.00,299.85,0.00,UPI,PAID,,,,,,2024-01-16 22:14:57,2,2024-01-16 22:14:57,2,
2,2,40,2,BOOK000002,Website Development,799.00,2025-01-26 19:43:36,2025-01-16,13:00:00,,CONFIRMED,818.85,799.00,119.85,100.00,UPI,UNPAID,,,,,,2025-01-16 19:43:36,2,2025-01-16 19:43:36,2,
3,2,409,19,BOOK000003,Light Fitting,599.00,2025-05-01 21:57:05,2025-04-18,10:00:00,,COMPLETED,638.85,599.00,89.85,50.00,DEBIT_CARD,PAID,,,,,,2025-04-18 21:57:05,2,2025-04-18 21:57:05,2,
4,2,115,6,BOOK000004,Gardening,2500.00,2024-08-04 23:50:38,2024-07-29,10:00:00,,COMPLETED,2825.00,2500.00,375.00,50.00,DEBIT_CARD,PAID,,,,,,2024-07-29 23:50:38,2,2024-07-29 23:50:38,2,
5,2,71,4,BOOK000005,MCB Installation,699.00,2024-02-19 06:19:34,2024-02-17,16:00:00,,COMPLETED,803.85,699.00,104.85,0.00,WALLET,PAID,,,,,,2024-02-17 06:19:34,2,2024-02-17 06:19:34,2,
6,2,212,10,BOOK000006,Printer Repair,999.00,2024-06-09 21:17:51,2024-06-01,16:00:00,,COMPLETED,1048.85,999.00,149.85,100.00,WALLET,PAID,,,,,,2024-06-01 21:17:51,2,2024-06-01 21:17:51,2,
7,2,154,8,BOOK000007,Website Development,2500.00,2025-07-19 04:58:16,2025-07-16,13:00:00,,COMPLETED,2825.00,2500.00,375.00,50.00,UPI,PAID,,,,,,2025-07-16 04:58:16,2,2025-07-16 04:58:16,2,
8,2,480,22,BOOK000008,Network Setup,1999.00,2024-10-14 22:46:58,2024-09-23,13:00:00,,COMPLETED,2298.85,1999.00,299.85,0.00,WALLET,PAID,,,,,,2024-09-23 22:46:58,2,2024-09-23 22:46:58,2,
9,2,482,22,BOOK000009,Computer Repair,1299.00,2024-01-30 17:54:40,2024-01-27,10:00:00,,CONFIRMED,1443.85,1299.00,194.85,50.00,CREDIT_CARD,UNPAID,,,,,,2024-01-27 17:54:40,2,2024-01-27 17:54:40,2,
10,2,373,17,BOOK000010,WiFi Setup,1499.00,2024-10-17 22:15:33,2024-09-25,18:00:00,,COMPLETED,1623.85,1499.00,224.85,100.00,WALLET,PAID,,,,,,2024-09-25 22:15:33,2,2024-09-25 22:15:33,2,
